Abortiporus biennis
Acanthophysellum lividocoeruleum
Acanthophysium oakesii
Acarosporina microspora
Acremonium boreale
Acrodictys atroapicula
Acrogenospora sphaerocephala
Acrospeira mirabilis
Acrospermum compressum
Acrospermum cuneolum
Actinocladium rhodosporum
Akanthomyces attenuatus
Akanthomyces lecanii
Alatospora acuminata
Aleurodiscus botryosus
Allophylaria subhyalina
Alternaria alternata
Alternaria brassicae
Alternaria negundinicola
Ambarignomonia petiolorum
Ambrosiella xylebori
Amniculicola longissima
Amphinema byssoides
Amphisphaeria multipunctata
Amphisphaeria umbrina
Amylocorticium subincarnatum
Amylostereum chailletii
Angustimassarina acerina
Angustimassarina quercicola
Annulohypoxylon truncatum
Anthostoma decipiens
Anthostoma saprophilum
Anthostomella adusta
Antidactylaria ampulliformis
Antrodia albida
Antrodiella pachycheiles
Antrodiella semisupina
Apiognomonia acerina
Apiognomonia errabunda
Apiognomonia hystrix
Apiognomonia petiolicola
Apiognomonia veneta
Apioplagiostoma acerinum
Apioplagiostoma hilberovae
Apiosporopsis carpinea
Aplosporella clintonii
Aplosporella negundinis
Aposphaeria inophila
Aposphaeria purpurascens
Arborispora paupera
Arcyria cinerea
Armillaria borealis
Armillaria calvescens
Armillaria cepistipes
Armillaria gallica
Armillaria gemina
Armillaria mellea
Armillaria nabsnona
Armillaria ostoyae
Armillaria sinapina
Arthrobotrys arthrobotryoides
Artomyces pyxidatus
Ascochyta negundinis
Ascochyta pallida
Ascochyta tehonii
Ascochyta velata
Ascocoryne sarcoides
Asteridiella negundinis
Asteromella ovata
Asteromella platanoidis
Asteromella velata
Asteromella vestita
Asterosporium asterospermum
Astrosphaeriella applanata
Athelia salicum
Athelia scutellaris
Atheliachaete sanguinea
Aureobasidium apocryptum
Aureobasidium pullulans
Aureobasidium pullulans var. pullulans
Auricularia auricula-judae
Auricularia fuscosuccinea
Auriculariopsis patelliformis
Bactrodesmium obovatum
Bactrodesmium pallidum
Bactrodesmium spilomeum
Badhamia panicea
Baltazaria galactina
Bertia moriformis
Bionectria ochroleuca
Bionectria ralfsii
Biscogniauxia anceps
Biscogniauxia atropunctata
Biscogniauxia cinereolilacina
Biscogniauxia grenadensis
Biscogniauxia mediterranea
Biscogniauxia nummularia
Bispora betulina
Bispora effusa
Bjerkandera adusta
Bjerkandera fumosa
Boeremia exigua
Bondarzewia berkeleyi
Botryobasidium flavescens
Botryobasidium pruinatum
Botryobasidium vagum
Botryodiplodia acerina
Botryosphaeria berengeriana
Botryosphaeria dothidea
Botryosphaeria stevensii
Botryosphaeria trames
Botrytis cinerea
Brachydesmiella biseptata
Brachysporium fusiforme
Brachysporium nigrum
Brachysporium polyseptatum
Brunneoporus malicola
Brunnipila clandestina
Bulgaria inquinans
Byssomerulius corium
Byssosphaeria rhodomphala
Byssosphaeria schiedermayriana
Cacumisporium capitulatum
Cadophora fastigiata
Cadophora melinii
Calcipostia guttulata
Calocera cornea
Calosphaeria wahlenbergii
Calycina citrina
Camarops polysperma
Camarosporium acerinum
Camarosporium negundinis
Camillea tinctor
Camposporium ontariense
Candida albicans
Capitotricha bicolor
Capnodium citri
Capronia chlorospora
Capronia minima
Catinella nigro-olivacea
Catunica adiposa
Cenangium episphaerium
Cenangium griseum
Cephalotrichum purpureofuscum
Ceraceomyces crispatus
Ceratocystis acericola
Ceratocystis piceae
Ceratocystis spinulosa
Ceratostoma tinctum
Cercophora sulphurella
Cercospora negundinis
Cercospora saccharini
Cercosporella albopunctata
Cerioporus leptocephalus
Cerioporus scutellatus
Cerioporus squamosus
Cerioporus varius
Ceriporia purpurea
Ceriporia reticulata
Ceriporia septocystidia
Ceriporia spissa
Ceriporia tarda
Cerrena unicolor
Chaetomium globosum
Chaetophoma pellicula
Chaetoplea stenocarpa
Chaetosphaerella fusca
Chaetosphaerella phaeostroma
Chaetosphaeria tortuosa
Chaetosphaeria vermicularioides
Cheimonophyllum haedinum
Chionomyces ontariensis
Chlorociboria aeruginascens
Chlorociboria aeruginosa
Chondrostereum purpureum
Chytriomyces confervae
Ciboria acerina
Cladosporium acerinum
