Aphelenchoides eximius
Belonolaimus longicaudatus
Cephalenchus emarginatus
Criconema arkaense
Criconema bakeri
Criconema proclivus
Dolichodorus grandaspicatus
Helicotylenchus dihystera
Heterodera zeae
Hoplolaimus galeatus
Longidorus attenuatus
Longidorus breviannulatus
Longidorus crassus
Longidorus diadecturus
Longidorus elongatus
Longidorus euonymus
Longidorus helveticus
Longidorus paravineacola
Longidorus poessneckensis
Meloidogyne arenaria
Meloidogyne chitwoodi
Meloidogyne fallax
Meloidogyne hapla
Meloidogyne incognita
Meloidogyne javanica
Meloidogyne mali
Meloidogyne ovalis
Meloidogyne platani
Mesocriconema onoense
Mesocriconema surinamense
Mesocriconema xenoplax
Paralongidorus maximus
Paratrichodorus minor
Paratylenchus tenuicaudatus
Pratylenchus brachyurus
Pratylenchus crenatus
Pratylenchus fallax
Pratylenchus penetrans
Pratylenchus vulnus
Rhizonemella sequoiae
Scutellonema brachyurus
Trichodorus elefjohnsoni
Tylenchorhynchus claytoni
Xenocriconemella macrodora
Xiphinema americanum sensu stricto
Xiphinema bakeri
Xiphinema dentatum
Xiphinema diversicaudatum
Xiphinema luci
Xiphinema rivesi (non-EU populations)
